,golden_gender_feminisation,golden_gender_nonfem,output,comments,clues,name_clues,old_golden_gender,prompt,Theme
142,Masc,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de ressources humaines, gestion de l'emploi et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines. Merci de m'avoir envoyé votre candidature en indiquant vos disponibilités. Cordialement, Madame.
Je suis à la recherche d'une opportunité en tant que : - Chargé de clientèle, - Chargé de relation commerciale, - Assistante comptable, - Secrétaire comptable
Je suis à la recherche d'une opportunité en tant que : - Assistant administratif, - Assistant technique, - Chargé de relation commerciale, - Assistant comptable, - Secrétaire comptable
J'aimerai vous proposer un poste en tant que",Forme,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de ressources humaines, gestion de l'emploi et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","ressources humaines, gestion de l'emploi"
143,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de ressources humaines, gestion de l'emploi et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès...
Bonjour, Je souhaiterais travailler dans une grande entreprise du bâtiment en tant que chef d'équipe. Je suis à la recherche d'un contrat à durée déterminée, avec des missions quotidiennes, de type manutention et travaux. Je suis à la recherche de personnes motivées, ayant de bonnes connaissances des machines et des...
Je suis à la recherche d'un emploi dans le domaine des services à domicile. Je suis un homme dynamique et motivé, je souhaite travailler en entreprise. Je suis à la recherche d'un","Thème, Forme (milieu)",,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de ressources humaines, gestion de l'emploi et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","ressources humaines, gestion de l'emploi"
144,Neutre,Neutre,"Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités personnelles je suis plus à l'aise avec la gestion d'un réseau de personnes.
Ce que vous cherchez c'est un profil de personne ayant une expérience dans le secteur des entreprises.
Les formations à distance et les outils de communication sont des atouts pour développer votre carrière. Nous vous conseillons donc d'aller les essayer et de les comparer avec un emploi réel. Vous verrez alors que cela n'est pas toujours évident.
Nous sommes en phase de recrutement, si vous souhaitez vous exprimer, n'hésitez pas à nous contacter",Forme,,,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
145,Neutre,Neutre,"Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème
Je souhaiterais envoyer un mail à ce sujet, merci pour votre réponse, bonne journée
Je suis actuellement en master en géographie à l'université de Rouen. Je souhaiterais faire un stage à Rouen en septembre pour me perfectionner et me lancer dans une carrière de cadre.
Merci de votre réponse, bonne journée. Pour ce qui est du stage, je ne sais pas si ce stage sera reconnu comme un stage de fin d'études, car il ne doit pas avoir lieu en septembre. En tout cas, si cela",,,,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
146,Neutre,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème salarié.,Générique,,,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
147,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités personnelles, j'offre un poste de chargé de missions au sein de la Direction des Affaires Sociales de l'Université de Rouen Normandie. J'ai déjà un lien avec la région et le département. Je souhaite vous adresser un mail pour confirmer ma candidature. A très bientôt.
Excellent profil! Et je suis sûr que tu auras les bons résultats en tant que chargé de mission à Rouen. Il faut simplement savoir que tu es bien payé et que tu auras un poste dans le secteur social.
je n'ai pas trouvé mon",Forme (fin),,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
148,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités et expérience, je vous invite à en discuter. Cordialement, Pierre-André
En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités et expérience, je vous invite à en discuter. Cordialement, Pierre-André
Bonjour, J'aimerais savoir si vous connaissez un institut proposant des stages de formation pour les personnes intéressées.",Générique,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
149,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de mes formations et expériences professionnelles sont dans le domaine du développement de la logistique. Je vous remercie de votre attention et de votre motivation.
cv en anglais niveau master, cv competences gestionnaire approvisionnement, cv gratuit pour un stage en rh, cv pour stage en vente, cv original ingenieur informatique, cv designer pour ingenieur, modele cv gratuit sans experience, cv en anglais pour un emploi, cv modeles powerpoint, cv modele avec permis, cv anglais cv sample, cv","Générique, Forme (fin)",,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
150,Masc,Masc,"Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive est très bien placé pour faire le tri de toutes les entreprises. Vous aurez la possibilité de communiquer avec des entreprises, de les rencontrer directement, de les voir dans des lieux où ils sont présents, de leur faire part de vos avis et de vos expériences, de rencontrer des jeunes, de leur montrer des lieux, de leur faire des conseils. Je me suis récemment inscrit sur le site de lemployeur mais je ne trouve pas le lien. J'ai envoyé un email à lemployeur mais j'ai reçu",Forme,,,Masc,Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
151,Neutre,Neutre,"Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  j'ai fait de la recherche d'emploi dans ce secteur.
Bonjour, J'ai obtenu un DUT en économie, ce qui me permet de travailler dans les domaines de l'informatique et du commerce électronique. Je suis donc en mesure de proposer des missions dans les domaines de la gestion de projets ou de la comptabilité. N'hésitez pas à me contacter pour une proposition!",Thème,,,Neutre,Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
152,Neutre,Neutre,"Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car iveau d'études, formation, expérience, aisance à communiquer, expérience de travail dans un environnement culturel différent de votre propre pays de résidence, ou si vous êtes à la recherche d'un nouveau challenge, je vous invite à venir nous rencontrer au sein de notre bureau de recrutement à Boulogne-Billancourt. Nous serons ravis de vous accueillir. Cordialement.",Forme,,,Neutre,Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
153,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème, je suis un étudiant en Licence de Sciences Humaines (SHS) en 1ère année. J'ai une expérience de travail dans le domaine de la culture (musique, théâtre, photographie). Je peux me déplacer et me rendre disponible pour répondre à vos demandes. A bientôt!",Thème,,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
154,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités personnelles et professionnelles, je recherche un poste qui m'aidera à progresser professionnellement.
Vous avez un CV en anglais? Vous aimeriez bien avoir votre propre CV? Nous pourrons réaliser une traduction simultanée pour vous aider à trouver le poste qui vous convient le mieux.
Nous vous proposerons de rédiger votre CV en anglais, en français, ou en allemand et de le publier sur le site
Le site a pour but de mettre en relation des candidats avec des entreprises. Nous faisons des recherches pour","Générique, Forme (fin)",,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
155,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines et professionnelles, je mets mes connaissances en pratique et je vous fais confiance pour être la personne à contacter. Cordialement.
Besoin d'un nouvel emploi ou d'une opportunité dans le secteur des métiers du sport? Je mets mes connaissances en pratique et je vous ferai confiance pour être la personne à contacter. Cordialement.
Bonjour, je suis une personne dynamique et dynamique et je suis disponible pour vous aider à vous épanouir dans vos activités quotidiennes. Je me tiens à votre disposition","Générique, Forme (fin)",,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
156,Neutre,Neutre,"Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je ne sais pas si je suis bien dans mon domaine et je ne sais pas si ce que je fais est utile au monde. Je sais que je peux apporter ma contribution pour le mieux. Cordialement, Jean-Yves
Je suis en formation de géologue en géosciences et je souhaite faire carrière dans une entreprise de services aux collectivités. Je ne sais pas ce que je pourrais mettre en oeuvre, en fonction des compétences que je souhaite acquérir. Je suis à la recherche d'un emploi. Cord",,,prénom masc,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
157,Fem,Fem,"Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  j'ai un emploi en charge du développement durable et de l'environnement dans un établissement d'enseignement supérieur. Je ne suis pas intéressée par le poste car je ne trouve pas de candidats intéressants. Cependant, si vous souhaitez m'accorder une interview, je vous remercie de me communiquer votre nom et votre courriel.
Le poste de directeur de cabinet du directeur régional de la fonction publique de l'Ontario, à Montréal, a été présenté à la ministre de la Fonction publique le 23 octobre dernier.
Le Directeur régional de la fonction",Forme,,,Fem,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
158,Neutre,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités je suis une personne dynamique et sérieuse.,Générique,,,Neutre,Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
159,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès ce moment là, je suis en formation en master. Je vous remercie pour votre réponse rapide.
Je m'appelle Aurélie, étudiante en master de géographie. Je suis très motivée par la géographie. En effet, la géographie est une discipline qui me passionne depuis ma plus tendre enfance. Je souhaite donc m'impliquer dans l'enseignement des sciences géographiques. Pour ce faire, j'utilise toutes les compétences que j'ai acquises durant mes études de master : les mathématiques, le langage, le graphisme,",,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
160,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès...
Vous avez la possibilité de passer votre permis de conduire en deux mois, à condition que vous soyez inscrit dans un établissement d'aptitude à l'examen (Axe I) depuis au moins 3 ans. Pour le permis de conduire A1, un délai de trois ans est requis. Pour les autres...
Bonjour, Je suis actuellement en apprentissage chez un boulanger à Montluçon (92). Je vous propose mes services dans une grande boulangerie. Pour les autres, veuillez m'écrire",Hors-sujet,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
161,Ambigu,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car 
Je suis titulaire d'un Master en Histoire du Développement Economique. J'ai également suivi la formation de chercheur dans le cadre du programme de recherche « Sciences Sociales et Sociétés ». J'ai effectué ma recherche en tant qu'étudiante à l'Université du Luxembourg en 2010/2011.
Je tiens à vous souhaiter la bienvenue sur le site de l'entreprise. Je vous propose mes services à des fins de recherche d'emploi. Je peux donc répondre à toutes vos questions.",Forme (fin),,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
162,Fem,Fem,"Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème.co a de nombreux postes qui correspondent à mes goûts et valeurs. Je souhaite aussi trouver quelqu'un qui a une bonne communication.
Je suis une fille dynamique, sérieuse, sérieuse, je suis une personne aimant le contact humain.","Générique, Forme (début)",,,Fem,Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
163,Fem,Fem,"Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je me suis fait connaître dans la ville de Suresnes grâce au site web et j'ai trouvé un emploi en tant que technicienne en électricité, j'ai travaillé en qualité de technicienne en électricité en milieu urbain et en qualité de technicienne en électricité en milieu rural, ce qui a permis de gagner de l'argent et de pouvoir vivre. Je suis à la recherche d'un emploi en milieu rural et en milieu urbain, j'ai trouvé un emploi dans le milieu rural grâce aux sites internet et",Thème,,,Fem,Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
164,Masc,Masc,"Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ie:
je suis étudiant en licence sciences de la terre, j'ai un master en gestion des entreprises et des territoires (en sciences politiques) et une licence d'économie politique.
J'apprécie particulièrement l'enseignement que l'on peut y obtenir et la rigueur de son contenu. J'apprécie également les relations humaines, la convivialité, la bonne ambiance.
Je suis à la recherche d'un emploi, et je peux m'adapter à vos envies. Je peux également m'adapter à vos horaires, car je sais que c'est",,,,Masc,Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,géographie
165,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités, je pense être un excellent candidat. Je suis disponible pour tout renseignement complémentaire (CV, dossier de présentation, lettre de motivation, entretien, etc...). Cordialement, Madame
Bonjour je suis un étudiant en médecine. J'aimerais avoir des informations sur le poste qui me correspond : Médecin généraliste. J'aimerais que vous me répondiez au plus vite. Cordialement
Bonjour, J'ai été recruté en tant qu'assistante administrative dans le cabinet. Je suis à la recherche d'un emploi",Thème,,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
166,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités personnelles je suis un candidat à la retraite, et je ne souhaite pas que ma carrière professionnelle me laisse indifférent.
Je suis une personne dynamique, responsable, souriante et qui sait faire preuve de bon sens. Je suis un homme sérieux et responsable.
Je suis à la recherche d'un emploi dans le domaine des services à la personne. Je recherche un travail où je serai amené à faire des tâches de secrétariat. Je suis disponible le week-end et je n'ai pas de limite horaire, je peux me",Générique,,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
167,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car iveau d'études, expérience professionnelle et connaissances du sujet que vous souhaitez me confier.
En tant que spécialiste de la logistique et du transport, je mets mes compétences en service des entreprises du secteur privé ou public afin de leur faire réaliser de bons contrats. Je propose également des prestations de conseil en matière d’organisation et de logistique des processus de transport de marchandises et de personnes.
La qualité de vos services est ma priorité absolue. Pour cela je vous propose de faire appel à mes services dans le domaine de la logistique.
",Thème,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de géographie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",géographie
168,Neutre,Neutre,"Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème expérience est plus qu'une obligation dans un métier qui exige beaucoup de rigueur, je recherche un travail à temps partiel et j'aimerais bien faire partie d'un projet artistique.
Bonjour, je m'appelle Aurélien. Je suis graphiste freelance. Je travaille dans le domaine de l'image numérique, mais aussi pour de la communication, de la communication digitale ou de la vidéo. Je m'intéresse aussi aux interfaces homme-machine et je fais de la programmation logicielle.
Coucou, j'ai 25 ans et je",Thème,,prénom masc,Neutre,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
169,Neutre,Neutre,"Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès plus, je suis bilingue français-anglais et je possède une formation artistique de 10 ans en art dramatique et une autre de 8 ans en théâtre. Je recherche un poste en rapport avec le théâtre mais aussi des responsabilités dans le domaine artistique ou au moins dans le domaine du théâtre. Je me permets de vous envoyer une candidature spontanée.
Si vous êtes interessé, merci de me contacter par mail à l'adresse PI:EMAIL ou par téléphone au 04 78 24 10 70.
Bonjour, Je suis",,,,Neutre,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
170,Masc,Masc,"Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èsprits de créateur et de créateur artistique, je suis également créatif et j'aime travailler dans le design graphique.
J'écris régulièrement sur des blogs (comme le mien) et je travaille avec des blogueurs et des photographes. Je suis en train de terminer mes études de master en graphisme.
Je suis graphiste et j'écris de nombreux articles sur des thèmes liés au design graphique et je travaille également en tant que designer de produit.
Vous avez une connaissance du domaine du design graphique. Ce",Thème (?),,,Masc,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
171,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èsprits d'artistes j'ai beaucoup de talents et j'aimerais un emploi bien rémunéré. Cordialement, Claude. [...]
Si vous souhaitez devenir artiste, une formation en arts plastiques est indispensable. Pour cela, le CAPES Arts Plastiques est une formation reconnue et qualifiante. En effet, ce diplôme est délivré par l’INSA de Lyon. De plus, la formation en arts plastiques est obligatoire dans la plupart des lycées. Pour ce faire, vous devez suivre une",Forme (fin),,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",art dramatique
172,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èsactif, je suis à la recherche de nouveaux défis, de nouveaux challenges, de nouveaux défis. Je tiens à remercier toutes les personnes qui ont participé à cette recherche. En outre, je souhaite remercier toutes les personnes qui ont apporté des idées originales, une aide financière, ou qui ont aidé à construire notre projet. Je tiens à remercier les personnes qui ont partagé leurs idées avec moi. Je suis ravi de vous lire et de contribuer à ce projet. Un grand merci à tous mes amis, à",Forme (fin),,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",art dramatique
173,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ivei propose une offre d'emploi pour une durée d'un an. En savoir plus",,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",art dramatique
174,Fem,Fem,"Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èsm...
Bonjour, Je m'appelle Elodie, je suis une femme de 23 ans. Je fais actuellement une formation d'art dramatique. J'ai une formation d'éducateur de jeunes enfants. Je suis une personne très dynamique, j'aime bien jouer le rôle, j'aime les femmes, j'ai une grande sensibilité. Je suis ouverte d'esprit, j'aime les voyages, je suis très dynamique, rigoureuse et respectueuse de chacun. Je cherche à être un complément de carrière. Je peux également jouer dans un spectacle. Pour les personnes",,,,Fem,Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
175,Neutre,Neutre,"Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èssieurs se sont très bien passés en ma compagnie.
Rassurant, agréable, sincère, poli et attentionné. Je suis une personne sympathique et attentionnée. Nous sommes bien d'accord pour une première rencontre.
Nous avons décidé de partager nos connaissances en partageant notre expérience de la vie, des voyages et des rencontres. Nous avons découvert de nombreuses personnes sympathiques, sympathiques, sympathiques, sympathiques, qui se sont très bien passés en ma compagnie. Je crois pouvoir vous assurer que",Hors-sujet,pas P1,,Masc,Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
176,Fem,Fem,"Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème (6ème de la promotion 2015) et mon diplôme m'aide à le réaliser. Je n'ai pas de diplômes en cours et je me fais plaisir! A bientôt!
Un excellent article! Je suis intéressée pour un emploi au théâtre. En revanche, je n'ai pas de diplôme et je n'ai pas eu le temps de le faire. Je peux néanmoins vous donner mon avis : j'ai une licence en lettres et un bac pro STAPS. Je fais du théâtre depuis 2 ans, et j'aime bien.",Forme (?),,,Fem,Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
177,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive une expérience en milieu social et culturel, je souhaite en savoir plus. Je tiens à vous remercier de votre attention. Cordialement
En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive une expérience en milieu social et culturel, je souhaite en savoir plus. Je tiens à vous remercier de votre attention. Cordialement
Le site de référence en",,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",art dramatique
178,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème, j'ai une connaissance approfondie de l'art dramatique, je pense pouvoir intégrer une entreprise pour effectuer des stages dans le domaine. Je vous remercie par avance de votre attention. Cordialement
Bonjour, je suis étudiante en master en danse, et je souhaiterais être auditionnée pour un stage de perfectionnement en entreprise. Je souhaite pouvoir découvrir votre société. J'ai un projet professionnel en tête, et je suis sur la liste des demandeurs d'emploi. Cordialement
Bonjour, je suis actuellement en Master 1 en",,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",art dramatique
179,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème carrière en théâtre.
Je suis né à Paris et j'ai été formé au collège Henri Matisse en classe de 3è et de 4è, en classes préparatoires au baccalauréat. J'ai suivi les cours de théâtre en lycée professionnel de Paris depuis 2016. J'ai découvert le théâtre au cours de mes études au Conservatoire National Supérieur des Arts et Techniques de Paris, en classe préparatoire à l'option théâtre.
Mon parcours s'est terminé par une formation dans le cadre de mon projet de recherche : la",,,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",art dramatique
180,Neutre,Neutre,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive une connaissance approfondie de la culture de la langue.,Générique,,,Neutre,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
181,Fem,Fem,"Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème je souhaite apprendre le français. Je suis très intéressée. Cordialement
J'ai terminé les études de théâtre, je souhaite me lancer dans le métier d'artiste mais je ne sais pas si je dois passer par une école d'art dramatique, je ne suis pas sûre, est-ce que je devrais faire un stage en stage artistique en tant qu'auteur-compositeur-interprète. Je voudrais avoir des conseils. Cordialement
Je suis une étudiante en école d'art dramatique (E.A.D","Thème, Forme",,,Fem,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
182,Neutre,Neutre,"Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èsb est le centre de formation de mon école. Je n'ai aucun doute de mon aptitude et de mon sérieux pour la réalisation de vos projets.
Le centre de formation ESSB est le centre de formation le plus important et le plus reconnu en Suisse. Depuis plus de 20 ans ESSB offre un large choix de formation à la fois en art dramatique, en théâtre, en chant, en chant lyrique et en danse. Le centre propose aussi des cours de préparation à la scène. Les",Forme,,,Neutre,Je finis actuellement mes études d'art dramatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,art dramatique
